trial,sl_mult,min_return,max_holding,sharpe_per_trade,total_return_pct,win_rate,n_trades,valid,label_total,label_count_-1,label_count_0,label_count_1,label_pct_-1,label_pct_0,label_pct_1
69,2.258878958586806,0.000977092779876761,53,1989.177452200387,84501.72132125485,1.0,579900.0,True,794141,273264,214241,306636,34.41001031303006,26.97770295199467,38.61228673497528
70,1.8256670515799402,0.0008656654004090079,39,1860.2604020549225,67870.35902455535,1.0,535197.0,True,794141,238685,258944,296512,30.055745768068892,32.60680408139109,37.33745015054002
71,2.296721638371083,0.0009446942425746517,43,2010.2804147334257,88238.34006775139,1.0,610796.0,True,794141,299817,183345,310979,37.753623097157806,23.087209953899873,39.159166948942314
72,2.0717175675371284,0.0009556502776511951,41,1919.9059433334844,74939.99628288367,1.0,538173.0,True,794141,241320,255968,296853,30.387550825357213,32.23205954610076,37.380389628542034
73,2.2126920940202797,0.0009908497589354148,45,1974.0125205676418,80328.30503202733,1.0,552811.0,True,794141,252657,241330,300154,31.815131066145685,30.388810047586006,37.796058886268305
74,2.4405538759809575,0.0009141697416040254,47,,,,,False,794141,346238,129167,318736,43.59905860546175,16.2649957627172,40.13594563182105
75,2.3388302419042857,0.0008219402958006214,42,,,,,False,794141,376394,95096,322651,47.39636915862548,11.974699706978988,40.62893113439553
76,2.1501853269086295,0.0009584282596083452,44,1966.6896858817365,79384.2119723856,1.0,561323.0,True,794141,258899,232818,302424,32.60113758136149,29.316960086433014,38.081902332205495
77,2.2674349955452144,0.00044174841168996364,50,,,,,False,794141,458741,3683,331717,57.7656864461097,0.4637715468663625,41.77054200702394
78,2.3607781807389236,0.0008885368698700516,37,,,,,False,794141,341442,137251,315448,42.99513562453015,17.282951012477632,39.72191336299221
79,1.9660260302531232,0.0009209002318640358,23,1871.1253332905517,68144.08887380068,1.0,509954.0,True,794141,227317,284187,282637,28.62426193837115,35.78545875354629,35.590279308082565
80,2.1899599297150827,0.000778870960376608,41,,,,,False,794141,375624,94197,324320,47.29940904700803,11.861495628610033,40.839095324381944
81,2.223598222929694,0.000999507923327297,43,1972.6547552226768,80059.29900159195,1.0,547818.0,True,794141,249234,246323,298584,31.384099297228076,31.01753970642493,37.598360996347
82,2.261034588322412,0.0009457654972665617,40,2023.724942403151,85865.66171216099,1.0,598672.0,True,794141,290329,195469,308343,36.55887304647412,24.613890984094763,38.82723596943112
83,2.0953948766796646,0.0009443423890917012,39,1947.5612951550754,77009.35115977957,1.0,554190.0,True,794141,253802,239951,300388,31.959312011343073,30.215163302234743,37.825524686422185
84,2.299059343997811,0.00097676064935287,48,1982.4426331035838,86495.95795190323,1.0,589534.0,True,794141,281645,204607,307889,35.4653644629858,25.764568256770527,38.77006728024369
85,2.4199912775283754,0.000852920499943471,45,,,,,False,794141,374183,97853,322105,47.117955123838215,12.32186727545864,40.56017760070315
86,2.3738901021223384,0.0009002120470108968,41,,,,,False,794141,339925,137455,316761,42.80411161242147,17.308639145945115,39.88724924163341
87,2.13925954087817,0.0009320821109415518,36,1980.8608353069374,79902.8980773832,1.0,574174.0,True,794141,270510,219967,303664,34.063220511219036,27.698733600204502,38.23804588857646
88,2.039403604937283,0.0008741353124153447,34,1978.1926325097315,78604.75920157762,1.0,592503.0,True,794141,284583,201638,307920,35.83532395380669,25.390705177040353,38.773970869152954
89,2.451227876346273,0.00017786524655717006,47,,,,,False,794141,459456,2482,332203,57.85572083546876,0.31253895718770347,41.83174020734353
90,2.2622776927236257,0.0009636307135976517,55,1999.23195989246,85803.71205013378,1.0,592038.0,True,794141,282904,202103,309134,35.62390054159148,25.449259010679466,38.926840447729056
91,2.2466636755095677,0.0009477650964519924,43,2016.9130988197096,85338.63931020773,1.0,595788.0,True,794141,287131,198353,308657,36.15617377770447,24.977050674880154,38.866775547415386
92,2.3333800361699195,0.0009118435218616,40,,,,,False,794141,325262,154464,314415,40.95771405833473,19.45045023490791,39.591835706757365
93,2.1775117990583395,0.0009754968413314537,38,1968.2998842024,78887.06509424324,1.0,551119.0,True,794141,252407,243022,298712,31.78365051042573,30.60187044869866,37.614479040875615
